wavelength,0,1,2,3,4,5,6,7,8,9,10
340.51,10,6,5,1,3,1,0,-1,0,-5,1
340.963,9,12,4,0,2,6,2,2,2,-1,1
341.416,12,9,11,9,1,5,0,-1,0,2,0
341.87,11,15,8,6,4,6,1,3,5,1,1
342.323,13,10,9,10,10,0,4,2,1,2,5
342.776,15,11,8,9,9,5,5,5,2,1,3
343.23,15,12,7,6,6,1,3,3,5,-2,-1
343.683,16,17,11,2,6,3,0,0,-1,5,0
344.137,17,12,13,10,2,8,7,6,6,6,3
344.59,11,8,5,0,1,-3,-1,-1,-3,-3,1
345.044,17,15,8,6,6,4,3,6,2,-1,3
345.497,15,12,13,5,4,5,3,6,3,-1,4
345.951,14,13,12,4,6,3,5,2,0,3,0
346.405,25,13,10,7,3,3,0,2,6,2,2
346.858,17,15,12,5,6,4,6,3,5,-1,3
347.312,20,17,8,5,5,4,4,3,1,2,-1
347.766,20,21,13,10,9,6,1,4,5,6,4
348.22,19,18,14,12,7,7,5,4,6,5,2
348.674,18,12,10,8,0,2,0,-3,0,-3,-1
349.128,24,22,16,10,13,5,8,9,5,5,2
349.581,25,20,17,9,11,6,1,5,1,2,1
350.035,29,24,14,11,13,10,7,5,4,2,6
350.489,31,23,12,15,10,12,4,3,5,1,2
350.944,31,24,19,14,10,7,9,2,4,2,3
351.398,37,29,25,17,15,9,11,8,5,4,10
351.852,41,34,22,22,17,13,10,13,6,7,1
352.306,44,39,28,26,15,14,7,9,5,4,4
352.76,55,43,32,26,17,12,9,13,10,3,6
353.214,63,47,43,29,24,17,15,9,5,6,9
353.669,84,67,48,37,34,18,14,10,7,8,6
354.123,111,89,68,52,43,32,21,18,20,11,10
354.577,146,119,88,68,51,39,29,24,19,12,12
355.032,195,154,117,89,70,51,41,29,26,19,17
355.486,239,198,147,107,82,65,46,37,31,19,19
355.941,323,262,194,145,115,83,60,47,38,31,26
356.395,405,324,242,180,142,100,78,63,46,36,33
356.85,490,393,297,217,176,129,95,73,60,45,44
357.304,596,473,357,269,208,153,116,94,65,51,49
357.759,738,586,443,331,259,196,152,110,88,74,65
358.213,870,690,518,383,304,220,170,130,94,84,66
358.668,1040,829,618,463,361,269,203,155,118,94,85
359.123,1214,973,726,539,422,313,237,182,137,113,93
359.578,1395,1109,827,622,486,358,269,205,160,131,109
360.032,1617,1280,963,722,565,419,312,241,184,154,128
360.487,1886,1498,1120,842,658,484,369,281,218,177,149
360.942,2184,1737,1299,974,764,564,421,330,254,203,174
361.397,2448,1940,1455,1088,855,631,473,366,282,227,196
361.852,2831,2258,1674,1259,981,727,548,417,326,269,224
362.307,3174,2521,1887,1419,1105,814,615,469,362,297,251
362.762,3632,2890,2156,1619,1259,928,701,543,416,340,291
363.217,4322,3443,2576,1930,1496,1109,838,643,496,400,342
363.672,4874,3885,2906,2177,1691,1249,944,722,561,448,385
364.127,5568,4442,3305,2488,1931,1413,1074,817,638,511,440
364.583,6417,5120,3818,2860,2218,1635,1240,940,730,584,501
365.038,7059,5640,4206,3155,2449,1798,1359,1028,799,638,546
365.493,7426,5942,4430,3327,2568,1876,1430,1078,839,665,567
365.948,7872,6279,4710,3535,2738,1993,1518,1154,886,709,606
366.404,8187,6546,4897,3668,2851,2067,1579,1194,923,728,622
366.859,8129,6493,4856,3637,2828,2047,1564,1184,909,722,612
367.314,7893,6282,4711,3523,2744,1990,1524,1144,886,706,597
367.77,7689,6130,4593,3434,2676,1932,1485,1122,864,682,585
368.225,7260,5770,4347,3241,2532,1829,1403,1062,813,646,545
368.681,6941,5520,4150,3098,2417,1747,1338,1013,775,621,524
369.136,6622,5258,3969,2956,2305,1666,1280,973,742,596,500
369.592,6095,4831,3627,2713,2123,1520,1171,890,682,545,457
370.048,5832,4630,3486,2607,2036,1457,1118,857,658,524,443
370.503,5549,4402,3313,2477,1937,1382,1063,815,620,497,420
370.959,5188,4120,3109,2318,1810,1301,994,763,583,461,388
371.415,4914,3904,2942,2200,1717,1238,947,733,554,444,370
371.871,4680,3719,2804,2097,1632,1175,895,695,530,420,355
372.326,4397,3499,2633,1982,1545,1107,839,649,492,392,333
372.782,4152,3301,2486,1865,1453,1041,798,611,467,371,314
373.238,3836,3051,2300,1727,1344,959,728,569,431,341,283
373.694,3705,2955,2228,1674,1299,933,709,550,415,333,281
374.15,3369,2681,2020,1523,1176,846,643,501,381,302,258
374.606,3171,2539,1908,1433,1112,793,600,470,359,282,239
375.062,2914,2328,1756,1323,1022,736,557,433,331,261,220
375.518,2593,2067,1558,1174,905,652,495,386,293,232,196
375.974,2460,1962,1477,1109,863,621,469,365,280,220,184
376.43,2129,1699,1281,967,745,534,409,312,247,190,162
376.887,2043,1624,1224,922,717,510,388,302,234,179,150
377.343,1766,1409,1063,802,619,447,343,260,200,156,133
377.799,1692,1349,1015,767,596,431,326,249,195,153,131
378.255,1507,1198,909,679,533,379,291,218,175,137,116
378.712,1412,1123,848,640,498,356,272,209,158,123,108
379.168,1285,1028,780,584,459,328,248,187,147,114,98
379.625,1195,946,729,539,423,299,232,175,136,109,86
380.081,1156,921,697,522,414,291,227,170,133,105,86
380.538,1073,860,647,482,380,265,202,158,116,90,79
380.994,970,772,588,440,342,248,189,142,112,89,74
381.451,940,742,568,429,335,242,183,141,107,86,70
381.907,853,675,513,387,304,217,167,126,100,78,64
382.364,816,651,493,373,292,204,160,121,93,79,60
382.821,738,592,447,333,266,192,141,111,87,70,59
383.277,691,550,417,313,245,173,133,102,80,59,50
383.734,635,508,386,290,229,162,125,94,73,56,47
384.191,567,446,339,258,204,144,109,84,61,52,43
384.648,548,438,329,251,198,139,108,83,62,53,46
385.105,497,394,299,228,181,125,100,77,58,47,41
385.562,443,355,271,197,156,111,86,65,47,40,36
386.018,415,333,252,193,151,106,79,60,45,39,32
386.475,386,310,231,174,135,99,76,55,44,35,28
386.933,364,294,218,168,128,91,69,55,41,34,32
387.39,344,274,207,156,121,85,64,48,38,31,28
387.847,324,261,202,149,118,85,64,52,36,31,27
388.304,294,236,178,138,108,79,61,42,36,27,24
388.761,294,237,178,135,106,77,59,44,38,27,25
389.218,266,215,159,122,92,69,47,41,31,23,22
389.675,262,213,160,120,95,68,53,37,31,25,26
390.133,241,195,149,111,87,61,49,38,30,27,24
390.59,225,178,136,102,74,54,41,33,22,20,15
391.047,209,171,125,100,72,55,40,33,28,23,19
391.505,199,159,120,88,68,52,38,28,23,19,16
391.962,184,150,112,86,65,47,38,27,22,18,18
392.42,171,140,105,80,65,44,37,27,18,21,13
392.877,157,122,98,74,52,41,32,22,17,9,12
393.335,148,117,86,68,56,41,30,21,20,17,12
393.792,128,107,76,58,46,30,26,16,19,10,12
394.25,124,97,74,58,42,30,24,15,13,13,14
394.708,116,94,72,53,40,27,18,21,13,7,11
395.165,101,80,61,45,34,33,21,14,8,12,6
395.623,99,79,59,48,38,27,18,12,9,8,8
396.081,94,77,60,40,37,30,20,16,13,9,10
396.539,88,72,54,41,29,20,16,11,13,3,10
396.997,83,69,53,38,30,25,17,11,8,3,10
397.454,78,60,48,34,27,22,16,11,7,10,7
397.912,79,68,46,39,31,24,16,9,8,11,5
398.37,79,59,48,37,29,22,14,16,12,10,9
398.828,71,57,40,29,24,19,14,10,8,5,6
399.286,66,56,43,32,27,16,14,10,6,5,7
399.745,63,51,37,27,23,15,15,8,6,7,6
400.203,63,50,36,28,20,16,11,6,7,9,3
400.661,49,43,32,23,19,10,5,5,4,2,-1
401.119,53,45,30,22,19,11,12,9,7,4,6
401.577,50,36,31,27,17,14,14,7,6,7,6
402.035,49,37,35,24,17,17,8,10,7,7,5
402.494,37,30,24,17,15,11,7,4,5,3,-3
402.952,38,33,29,13,17,11,11,10,5,3,7
403.411,33,29,17,16,12,5,6,4,8,4,6
403.869,37,28,23,15,11,7,11,5,6,4,4
404.327,36,25,17,18,14,10,9,8,6,10,8
404.786,27,23,13,7,10,6,6,6,2,7,5
405.244,26,23,13,9,6,5,5,-2,6,2,1
405.703,24,25,19,17,9,6,5,8,4,3,5
406.162,27,19,19,11,9,8,8,5,4,4,4
406.62,24,16,12,9,4,4,0,2,1,-2,-3
407.079,21,19,14,10,6,8,5,5,1,5,6
407.538,22,17,14,8,11,10,5,6,7,2,2
407.996,22,17,13,13,12,1,1,4,9,4,8
408.455,25,21,17,11,10,3,7,9,3,5,3
408.914,25,18,19,14,12,8,8,8,7,8,5
409.373,17,13,10,4,9,4,3,-2,3,0,3
409.832,15,17,8,8,4,4,3,5,2,-6,-2
410.291,23,19,17,13,8,6,7,2,2,5,0
410.75,20,14,15,10,10,8,6,7,2,1,1
411.209,18,12,8,9,7,3,6,4,2,0,1
411.668,17,17,16,6,7,6,7,5,6,2,8
412.127,17,15,12,3,7,6,3,7,3,3,8
412.586,12,7,10,6,1,1,-1,0,1,2,-1
413.045,16,11,8,10,5,5,4,4,4,4,9
413.504,14,13,10,7,10,6,3,-1,8,5,3
413.964,9,7,10,2,8,1,3,3,0,0,3
414.423,15,9,11,9,9,7,4,3,5,-2,7
414.882,14,14,12,9,7,6,6,4,3,-2,2
415.342,10,12,6,8,8,7,0,7,2,0,5
415.801,13,15,12,7,5,6,6,4,2,4,4
416.261,9,10,7,6,7,6,2,4,6,3,5
416.72,16,8,7,8,3,6,0,3,6,1,6
417.18,10,12,9,7,4,3,2,3,1,7,1
417.639,5,6,4,5,5,2,1,3,0,0,0
418.099,7,5,6,1,8,3,0,0,1,4,-3
418.558,7,12,5,8,1,4,0,-1,1,-2,0
419.018,6,6,4,4,3,1,2,2,-3,-3,1
419.478,7,9,2,5,3,4,3,1,-2,0,3
419.937,12,10,4,4,3,3,5,7,2,3,2
420.397,12,11,8,6,8,2,4,4,3,2,2
420.857,11,11,6,7,6,6,-1,3,4,4,-1
421.317,5,11,8,6,4,-1,1,0,4,1,4
421.777,6,9,7,4,5,3,8,3,2,1,0
422.237,10,3,8,5,0,6,4,1,1,2,-1
422.697,9,3,-1,2,0,-3,-4,-3,0,0,-3
423.157,6,5,2,4,0,0,2,1,-1,-2,0
423.617,11,9,9,4,4,7,3,5,7,4,6
424.077,6,7,9,2,5,2,3,-2,3,2,1
424.537,15,7,7,5,7,2,3,3,3,1,3
424.997,11,11,9,4,3,7,0,5,0,4,1
425.457,7,5,6,3,3,0,-1,3,1,2,1
425.917,5,7,3,2,1,-3,2,-4,-2,-5,1
426.378,10,9,12,5,4,7,3,4,1,2,5
426.838,6,5,4,3,-1,1,5,2,1,1,-1
427.298,7,7,4,2,3,3,4,6,4,2,8
427.759,6,8,7,3,3,5,4,7,2,0,4
428.219,0,-1,-2,-3,-6,-3,-4,-7,-5,-3,-5
428.68,7,8,4,2,3,2,4,-1,3,3,-4
429.14,4,6,6,2,3,1,1,3,1,1,2
429.601,8,11,5,2,5,13,8,5,4,2,4
430.061,6,8,11,8,2,3,3,2,4,6,8
430.522,11,9,2,1,4,1,1,2,-2,3,2
430.983,8,4,5,4,3,-2,-4,-1,2,-2,1
431.443,9,7,5,3,5,6,1,3,2,3,1
431.904,5,10,10,4,3,4,3,2,1,2,-2
432.365,11,9,10,4,4,3,3,2,7,6,4
432.825,12,9,8,4,7,2,-1,0,5,-2,3
433.286,9,4,3,4,3,1,0,2,2,-2,-1
433.747,6,4,7,3,5,2,1,4,0,2,1
434.208,2,2,0,3,0,-3,-1,-1,-2,0,0
434.669,10,5,5,3,-3,4,1,1,2,3,3
435.13,4,1,-1,0,2,0,0,0,2,-2,2
435.591,3,6,2,2,2,2,1,1,2,0,3
436.052,2,3,0,2,-3,-1,0,0,4,0,1
436.513,5,4,3,2,-2,1,3,2,4,2,2
436.974,11,9,2,6,2,6,4,6,5,4,5
437.436,7,6,8,7,0,5,6,0,5,0,4
437.897,5,7,6,4,10,5,0,5,3,2,-1
438.358,7,8,0,4,4,0,3,-1,2,-2,1
438.819,8,7,6,9,5,3,3,1,2,3,6
439.281,9,7,7,4,5,0,0,5,0,3,5
439.742,9,4,5,4,3,0,2,3,4,-3,3
440.203,5,7,5,4,4,6,4,1,5,0,3
440.665,5,4,4,5,3,3,2,2,-1,-2,0
441.126,5,4,5,1,-1,2,4,-1,0,-2,1
441.588,6,7,2,4,5,3,1,3,4,0,2
442.049,8,8,4,7,5,1,2,2,7,1,1
442.511,8,7,4,7,6,10,0,4,3,3,1
442.973,5,6,5,7,-1,1,6,4,0,4,3
443.434,5,0,7,3,1,1,2,-2,-1,2,-3
443.896,11,9,4,5,3,2,7,3,1,2,3
444.358,6,4,3,3,2,0,2,1,7,-5,2
444.819,8,9,4,2,5,2,-1,2,3,1,2
445.281,7,6,6,3,4,2,0,-1,0,-4,2
445.743,8,4,6,4,1,-2,1,0,-1,-1,0
446.205,5,7,9,6,4,9,3,9,7,7,4
446.667,6,4,5,4,7,3,3,-2,4,-3,1
447.129,6,6,6,0,6,1,3,0,2,2,0
447.591,7,5,3,3,7,2,4,3,1,2,3
448.053,11,11,8,9,8,2,5,6,7,3,10
448.515,2,2,3,4,1,-2,0,-1,2,0,-1
448.977,12,8,9,6,2,5,4,1,5,3,4
449.439,5,7,5,-3,0,3,-3,-2,-1,2,-1
449.902,4,4,4,3,-1,1,6,-3,2,0,-1
450.364,5,4,3,-2,1,0,2,1,-1,-1,2
450.826,5,7,2,4,3,5,2,1,1,-2,1
451.288,2,8,8,0,5,5,4,1,4,1,2
451.751,8,7,10,9,7,2,7,0,3,6,-1
452.213,7,5,4,-2,-2,0,-4,-2,2,-2,-1
452.676,0,5,2,3,2,2,-1,-6,0,-3,1
453.138,5,7,4,6,0,6,3,2,4,-1,1
453.601,2,1,0,-1,1,-2,-4,-2,1,-3,-1
454.063,0,-2,1,-5,-3,-5,-10,-5,-4,-7,-4
454.526,6,3,1,0,0,0,2,1,-1,2,0
454.988,3,4,6,4,1,4,4,4,2,0,4
455.451,0,4,3,3,3,0,-1,-2,-4,-3,0
455.914,4,8,5,5,2,2,2,2,2,-3,1
456.376,5,7,8,4,5,3,3,6,1,5,0
456.839,6,2,4,2,-1,3,0,-2,3,1,-2
457.302,7,8,6,5,2,4,0,5,5,4,1
457.765,7,3,4,5,5,2,7,3,0,-2,1
458.228,6,5,5,7,2,6,-1,4,2,6,2
458.69,2,5,3,0,2,2,-2,-2,1,1,-1
459.153,5,6,5,4,-1,2,-3,-1,3,0,3
459.616,6,6,5,5,4,3,2,3,-2,-1,0
460.079,6,9,7,10,6,3,4,6,1,3,1
460.543,5,4,2,2,1,0,-1,4,3,-5,0
461.006,6,5,5,2,4,0,5,4,6,3,0
461.469,6,10,6,3,3,6,3,2,2,6,4
461.932,7,3,2,7,2,1,2,-1,0,0,2
462.395,7,7,6,9,1,5,2,7,-2,0,2
462.858,5,5,2,3,2,3,1,1,-1,3,2
463.322,10,7,7,6,4,4,8,0,5,3,4
463.785,8,3,-1,-1,3,-3,1,-5,3,4,0
464.248,5,3,1,4,6,4,4,1,2,-4,1
464.712,9,7,6,9,8,0,3,3,3,3,6
465.175,7,10,6,2,0,2,2,2,2,2,0
465.639,1,6,3,1,5,0,-1,0,2,1,1
466.102,5,7,7,5,2,3,-1,4,1,5,4
466.566,8,5,6,5,2,2,7,0,-2,-2,2
467.029,6,5,4,4,5,1,5,5,-3,3,6
467.493,2,2,-1,0,1,3,3,3,-3,1,-3
467.957,6,4,4,0,7,2,1,1,3,-2,3
468.42,4,7,6,6,5,-2,5,1,1,1,4
468.884,3,5,5,2,-1,2,4,3,-2,-2,-2
469.348,6,8,9,2,4,2,3,4,3,2,1
469.812,6,5,2,1,1,2,-1,3,3,3,2
470.276,8,9,6,6,5,8,1,-2,2,3,5
470.74,13,9,8,8,7,9,9,6,7,5,7
471.204,4,2,-1,2,-3,1,0,3,-3,-1,0
471.667,8,8,9,3,5,3,0,3,3,2,-1
472.131,8,7,7,3,6,2,5,4,3,-1,1
472.596,5,3,9,3,-4,-1,1,-2,1,-2,1
473.06,8,11,11,11,10,8,9,7,5,5,6
473.524,9,5,6,4,4,3,3,2,0,0,5
473.988,9,9,6,7,1,3,2,0,4,2,3
474.452,12,12,8,11,7,8,5,-2,5,4,5
474.916,9,10,8,8,6,9,5,6,2,1,2
475.381,8,7,5,6,2,3,3,3,2,-2,-1
475.845,8,9,7,7,7,7,5,6,5,3,0
476.309,10,10,5,6,6,7,5,3,4,1,5
476.774,13,11,13,2,6,1,-1,2,4,0,4
477.238,8,14,7,10,7,0,6,5,1,2,3
