wavelength,1,2,3,4,5,6,7,8,9,10
340.51,103,42,12,5,2,1,2,2,1,2
340.963,105,47,11,12,11,2,0,3,0,0
341.416,108,50,13,9,6,1,4,9,3,1
341.87,115,52,18,11,6,7,3,5,7,7
342.323,116,52,17,9,10,4,2,6,5,5
342.776,122,55,17,11,7,8,3,4,4,7
343.23,124,60,15,10,10,0,1,3,0,3
343.683,126,59,18,10,6,4,4,5,5,4
344.137,136,60,24,13,5,5,5,4,7,5
344.59,138,62,16,4,1,0,-1,-3,4,-4
345.044,145,65,22,9,10,4,4,6,4,5
345.497,148,70,23,15,8,2,3,3,-2,5
345.951,149,70,23,12,8,3,3,5,-1,4
346.405,166,78,23,16,6,4,1,9,4,4
346.858,168,80,25,14,7,8,4,2,8,6
347.312,180,87,27,14,8,6,3,5,2,1
347.766,177,83,29,14,8,6,5,7,6,11
348.22,202,93,30,17,14,6,9,8,3,7
348.674,199,87,23,10,5,3,0,3,1,0
349.128,216,101,34,16,11,7,6,7,4,8
349.581,227,107,35,15,10,5,8,5,5,3
350.035,247,119,35,21,13,9,12,12,9,5
350.489,270,126,41,26,12,7,8,10,7,2
350.944,289,134,44,24,17,6,4,5,9,3
351.398,323,150,48,27,18,12,10,7,10,4
351.852,356,167,57,30,21,14,10,12,11,9
352.306,419,198,63,39,21,11,11,11,11,8
352.76,496,232,72,36,29,15,11,10,14,7
353.214,608,287,94,51,29,21,17,9,12,7
353.669,779,368,116,60,37,21,18,16,13,10
354.123,1019,480,149,82,50,31,27,27,19,17
354.577,1362,640,204,109,67,38,32,29,28,24
355.032,1775,838,265,142,90,49,42,42,33,31
355.486,2260,1068,332,181,108,63,51,47,42,34
355.941,2982,1399,436,239,141,86,78,65,56,48
356.395,3715,1750,547,298,178,105,90,88,66,58
356.85,4560,2141,664,359,221,126,108,98,82,72
357.304,5550,2600,803,439,261,153,130,117,98,85
357.759,6829,3191,994,537,326,193,170,144,124,107
358.213,8054,3787,1164,634,380,224,188,173,146,124
358.668,9579,4520,1400,758,458,263,223,201,175,147
359.123,11202,5315,1643,887,530,313,260,233,199,170
359.578,12726,6101,1878,1010,606,355,298,267,228,195
360.032,14486,7065,2185,1177,710,418,350,315,272,229
360.487,14883,8207,2536,1366,824,480,400,363,303,268
360.942,14883,9492,2955,1596,960,559,470,419,355,304
361.397,14883,10553,3299,1773,1070,627,521,465,403,342
361.852,14883,12118,3820,2056,1246,724,608,540,461,399
362.307,14883,13483,4300,2309,1388,814,677,605,517,437
362.762,14883,14883,4902,2637,1594,931,779,693,595,510
363.217,14883,14883,5878,3155,1904,1108,932,827,706,608
363.672,14883,14883,6622,3562,2141,1248,1045,928,800,680
364.127,14883,14883,7554,4068,2450,1425,1191,1059,910,771
364.583,14883,14883,8679,4687,2820,1642,1372,1223,1042,890
365.038,14883,14883,9504,5148,3096,1806,1501,1347,1146,982
365.493,14883,14883,9953,5404,3245,1885,1577,1402,1204,1022
365.948,14883,14883,10492,5713,3446,1994,1671,1485,1279,1091
366.404,14883,14883,10840,5930,3570,2071,1732,1542,1321,1127
366.859,14883,14883,10719,5854,3517,2042,1717,1533,1304,1115
367.314,14883,14883,10360,5644,3406,1984,1658,1488,1277,1092
367.77,14883,14883,10105,5507,3319,1919,1619,1444,1242,1058
368.225,14883,14883,9540,5190,3133,1809,1531,1367,1173,1001
368.681,14883,14883,9118,4957,2988,1732,1463,1311,1120,961
369.136,14883,14883,8708,4726,2847,1656,1395,1251,1079,921
369.592,14883,14883,8012,4340,2612,1514,1282,1155,988,843
370.048,14883,14883,7674,4152,2510,1451,1230,1100,949,815
370.503,14883,14883,7299,3957,2387,1379,1168,1046,896,769
370.959,14883,14883,6836,3695,2234,1298,1096,979,842,724
371.415,14883,14883,6479,3498,2112,1237,1047,939,804,689
371.871,14883,14883,6179,3336,2016,1170,989,894,765,661
372.326,14883,14883,5820,3143,1899,1100,922,832,717,617
372.782,14883,14883,5503,2966,1798,1043,877,787,677,576
373.238,14883,14883,5092,2753,1652,966,811,733,628,535
373.694,14883,14883,4931,2666,1607,936,786,710,607,523
374.15,14883,13983,4473,2418,1463,852,713,644,552,477
374.606,14883,13305,4229,2285,1375,802,670,607,520,443
375.062,14883,12302,3869,2099,1268,736,623,556,475,412
375.518,14883,11011,3443,1860,1128,657,553,492,422,364
375.974,14883,10484,3277,1775,1074,623,524,472,401,346
376.43,14883,9105,2827,1530,925,539,450,408,352,299
376.887,14883,8734,2713,1467,890,514,438,391,336,289
377.343,14883,7581,2344,1268,763,447,378,340,291,252
377.799,14883,7247,2244,1216,743,428,360,327,278,241
378.255,13574,6471,1992,1087,652,381,320,292,248,213
378.712,12804,6055,1866,1014,614,355,305,272,230,200
379.168,11776,5526,1711,934,559,327,277,246,212,182
379.625,10984,5126,1589,863,524,301,253,227,198,171
380.081,10651,4964,1539,832,505,295,246,223,191,165
380.538,9977,4640,1422,782,472,279,229,203,175,146
380.994,9003,4165,1292,701,427,250,210,191,162,132
381.451,8735,4036,1254,686,418,243,207,185,156,136
381.907,7890,3636,1132,615,376,217,181,164,140,122
382.364,7548,3480,1084,595,356,209,174,156,139,120
382.821,6914,3186,984,545,329,191,163,147,124,111
383.277,6471,2973,926,506,305,176,150,136,113,94
383.734,5990,2752,852,465,285,165,136,123,102,90
384.191,5259,2418,752,410,250,148,122,109,91,78
384.648,5081,2353,729,401,242,141,117,106,91,79
385.105,4616,2122,665,367,222,132,107,96,83,69
385.562,4093,1884,594,320,196,113,92,82,71,62
386.018,3871,1779,555,302,183,107,90,81,70,57
386.475,3570,1640,512,284,171,95,84,76,61,55
386.933,3374,1553,482,266,167,97,79,69,58,51
387.39,3169,1459,460,253,154,92,73,70,58,53
387.847,3007,1386,437,239,146,87,73,68,56,48
388.304,2749,1261,399,214,134,77,68,59,52,45
388.761,2702,1242,393,216,124,78,63,58,49,42
389.218,2448,1131,354,196,121,67,59,49,47,40
389.675,2447,1125,354,199,122,68,56,55,46,40
390.133,2223,1022,322,176,106,63,53,47,42,40
390.59,2109,969,302,167,95,53,49,42,33,29
391.047,1936,888,281,155,95,55,50,38,37,30
391.505,1828,841,269,152,91,53,44,37,34,30
391.962,1663,768,243,140,84,51,40,39,37,27
392.42,1567,721,229,129,75,47,38,34,27,26
392.877,1442,665,210,116,68,42,33,32,25,19
