wavelength,0,1,2,3,4,5,6,7,8,9,10
340.51,5,3,1,7,0,1,2,-3,-1,-2,-3
340.963,7,7,8,5,5,0,0,-3,2,0,-2
341.416,8,4,3,2,6,4,3,1,2,2,-1
341.87,11,8,7,2,5,3,9,1,5,0,1
342.323,9,11,8,3,4,4,5,1,5,2,2
342.776,13,9,9,6,3,4,2,2,-1,2,2
343.23,9,7,4,4,-1,-1,1,-3,0,1,-4
343.683,10,7,6,5,4,0,2,4,1,3,0
344.137,15,8,10,4,5,2,2,0,5,4,4
344.59,7,4,9,1,2,3,-3,-2,-1,-3,-3
345.044,11,8,9,9,3,1,4,-3,-1,3,-1
345.497,14,11,3,6,6,2,2,1,4,3,4
345.951,13,5,9,3,0,4,5,3,-2,5,-3
346.405,10,7,8,2,4,4,2,3,1,5,1
346.858,17,11,11,7,6,1,4,3,6,1,-1
347.312,16,12,7,5,5,5,4,1,1,4,-1
347.766,21,9,9,5,3,7,3,5,4,4,2
348.22,15,14,12,8,5,6,4,2,0,6,1
348.674,13,8,7,2,3,-1,1,-3,-1,-6,-8
349.128,18,16,12,7,10,6,1,7,6,3,3
349.581,18,17,13,7,6,7,4,3,2,2,-2
350.035,20,18,14,10,11,5,5,4,2,4,2
350.489,24,14,16,13,7,7,6,-1,3,3,4
350.944,22,19,18,11,12,4,6,3,-1,2,1
351.398,27,19,18,13,9,9,7,3,2,7,6
351.852,31,20,22,15,9,9,9,3,2,7,3
352.306,34,29,21,15,16,12,3,4,2,3,1
352.76,39,27,26,18,15,7,7,1,4,2,-1
353.214,48,39,32,20,17,9,9,6,5,3,0
353.669,57,44,37,25,16,13,9,9,3,-2,1
354.123,74,60,54,37,28,17,12,9,7,5,6
354.577,102,79,68,48,35,28,17,7,7,4,2
355.032,134,104,93,63,44,35,25,13,15,10,10
355.486,165,128,115,80,52,37,24,15,7,5,6
355.941,221,176,151,109,78,53,37,24,13,11,6
356.395,278,219,195,137,94,65,47,27,19,17,17
356.85,345,264,234,165,119,81,57,38,25,14,9
357.304,415,322,288,202,142,99,64,38,32,16,10
357.759,513,402,355,253,178,121,82,56,34,26,18
358.213,602,469,419,297,206,142,97,61,37,25,17
358.668,725,564,498,353,245,168,120,72,47,32,21
359.123,850,660,584,408,293,198,132,82,57,35,20
359.578,967,754,666,465,331,227,151,91,61,40,25
360.032,1129,884,776,547,387,259,183,112,76,48,34
360.487,1307,1029,904,632,448,304,213,127,85,60,39
360.942,1533,1197,1054,736,522,354,241,149,105,66,44
361.397,1711,1333,1185,827,584,395,274,170,113,72,48
361.852,1972,1545,1357,956,677,462,314,193,129,88,59
362.307,2216,1732,1524,1072,754,510,350,215,137,91,58
362.762,2528,1972,1732,1218,865,588,398,246,165,113,73
363.217,3009,2350,2069,1458,1027,693,476,297,198,132,84
363.672,3382,2643,2324,1635,1155,780,535,328,218,148,95
364.127,3869,3017,2648,1860,1319,888,607,372,250,161,110
364.583,4472,3487,3061,2151,1517,1022,704,430,288,190,126
365.038,4937,3842,3385,2373,1675,1129,771,476,315,211,137
365.493,5221,4068,3574,2505,1760,1189,812,494,329,215,132
365.948,5567,4349,3819,2667,1877,1262,865,530,353,232,156
366.404,5840,4555,4009,2799,1968,1324,901,555,363,238,158
366.859,5829,4536,3996,2790,1961,1318,903,551,365,238,156
367.314,5684,4433,3893,2721,1911,1285,878,540,358,239,158
367.77,5561,4328,3820,2662,1871,1259,858,527,349,226,144
368.225,5270,4106,3625,2526,1770,1192,812,491,326,219,142
368.681,5049,3933,3461,2418,1689,1140,782,476,317,207,138
369.136,4825,3757,3309,2311,1622,1095,749,454,304,201,133
369.592,4426,3458,3047,2123,1485,1006,689,417,278,182,119
